"Reactome Pathway Term","Adjusted P-value","Size","Leading Edge"
"PTEN Regulation","3.849e-03","133","ATF2, BMI1, EED, EZH2, FRK, HDAC2, LAMTOR3, LAMTOR4, NEDD4, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB7, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, PTEN, REST, RHEB, RNF2, RPS27A, RRAGB, RRAGD, SEM1, SLC38A9, SUZ12, TNKS, TNKS2, TRIM27, UBA52, UBC, USP13, XIAP"
"Peptide chain elongation","1.979e-21","86","EEF1A1, RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA, UBA52"
"Peptide hormone metabolism","3.566e-02","38","ACE, AOPEP, ATP6AP2, CTNNB1, ERO1A, ERO1B, EXOC5, EXOC6, KIF5B, MYO5A, RAB27A, SEC11A, SEC11C, SLC30A5, SLC30A6, SPCS3"
"Post-translational protein phosphorylation","9.164e-03","58","ANO8, APLP2, APP, BMP4, CST3, IGFBP4, LAMB2, LAMC1, MELTF, MEN1, MSLN, MXRA8, NOTUM, NUCB1, P4HB, PNPLA2, PRKCSH, QSOX1, SERPINA1, SHISA5, TGOLN2, TIMP1, TMEM132A, TNC, VGF, WFS1"
"Potassium Channels","2.558e-02","35","GNB2, GNB5, KCNA2, KCNAB2, KCNB2, KCNC3, KCNC4, KCNH2, KCNH3, KCNJ11, KCNJ14, KCNJ9, KCNK6, KCNK7, KCNMB3, KCNMB4, KCNN4"
"Pre-NOTCH Expression and Processing","1.743e-02","69","AGO1, AGO4, ATP2A2, ATP2A3, CREBBP, EP300, FURIN, H2AC20, H2AJ, H2AX, H2BC12, H2BC21, H2BC4, H2BC8, H3C6, H3C8, KAT2A, LFNG, MAML1, MAML3, MOV10, NOTCH1, POFUT1, RFNG, SIRT6, ST3GAL4, TFDP1, TNRC6A"
"Presynaptic phase of homologous DNA pairing and strand exchange","6.779e-05","40","ATM, ATR, BLM, BRCA1, BRCA2, CHEK1, DNA2, MRE11, NBN, RAD1, RAD51B, RAD51C, RBBP8, RFC2, RFC3, RMI1, RPA3, SEM1, TOPBP1, WRN, XRCC2"
"Processing of Capped Intron-Containing Pre-mRNA","2.240e-03","235","AQR, BCAS2, CCAR1, CD2BP2, CDC40, CDC5L, CPSF2, CRNKL1, CSTF2, CSTF3, CWC15, CWC22, CWC27, DHX15, DNAJC8, EIF4E, FIP1L1, FYTTD1, GCFC2, GTF2F2, HNRNPA3, HNRNPC, HNRNPH2, HNRNPR, HSPA8, ISY1, LSM3, LSM4, LSM5, LSM6, LSM8, MAGOH, MAGOHB, METTL14, MTREX, NCBP1, NCBP2, NDC1, NUDT21, NUP107, NUP155, NUP35, NUP43, NUP54, NUP58, NUP88, PAPOLA, PHF5A, PLRG1, POLR2B, POLR2H, POLR2K, PPIH, PPIL1, PPIL3, PPIL4, PPWD1, PRPF40A, RANBP2, RBM17, SEH1L, SF3B1, SF3B5, SF3B6, SLBP, SLU7, SNRNP27, SNRNP40, SNRNP48, SNRPB2, SNRPD1, SNRPD2, SNRPD3, SNRPE, SNRPF, SNRPG, SNW1, SRSF1, SRSF10, SRSF3, SRSF7, SYF2, THOC1, THOC2, THOC7, TPR, TRA2B, U2SURP, UPF3B, WBP4, WDR33, YBX1, ZMAT5"
"Processing of Capped Intronless Pre-mRNA","8.165e-03","29","CPSF2, CSTF2, CSTF3, FIP1L1, LSM11, NCBP1, NCBP2, NUDT21, PAPOLA, SLBP, SNRPD3, SNRPE, SNRPF, SNRPG, WDR33"
"Programmed Cell Death","7.539e-03","184","APC, APIP, APPL1, BCL2, BIRC2, BIRC3, CASP3, CASP4, CYCS, DAPK2, DNM1L, FLOT1, FNTA, HMGB1, HMGB2, HSP90AA1, IL18, OPA1, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, ROCK1, RPS27A, SDCBP, SEM1, TFDP2, TNFSF10, UACA, UBA52, UBC, XIAP, YWHAQ"
"Protein localization","1.297e-03","149","ABCD3, AGPS, ATAD1, ATP5F1B, ATP5MC1, BCS1L, CAMLG, CHCHD2, CHCHD3, CHCHD4, CHCHD7, CMC2, COA6, COX17, DNAJC19, ECI2, FIS1, FXN, GDAP1, GET1, GFER, GNPAT, GRPEL1, HACL1, HSPA9, HSPD1, IDE, IDH1, MTX1, MTX2, PAM16, PEX1, PEX11B, PEX13, PEX2, PEX3, PEX7, PHYH, PRNP, RPS27A, SAMM50, SCP2, SEC61B, SEC61G, SERP1, SLC25A12, SLC25A17, SLC27A2, TIMM17A, TIMM21, TIMM23, TIMM8A, TIMM8B, TIMM9, TOMM20, TOMM5, TOMM7, TOMM70, UBA52, UBC, UBE2D1, UBE2D2, UBE2D3, USP9X, VAPA, ZFAND6"
"Protein ubiquitination","2.684e-02","70","CDC73, HLTF, PEX13, PEX2, PRKDC, RAD18, RNF181, RPS27A, UBA52, UBA6, UBC, UBE2D1, UBE2D2, UBE2D3, UBE2E1, UBE2G1, UBE2K, UBE2N, UBE2T, UBE2V2, UBE2W, USP9X, WAC, WDR61"
"RAF activation","3.097e-02","34","BRAF, CALM2, CAMK2D, JAK2, KRAS, NRAS, PPP1CB, PPP1CC, PPP2CA, PPP2R1B, PPP2R5A, PPP2R5C, PPP2R5E, SHOC2"
"RHO GTPase Effectors","3.849e-03","256","ABI2, ACTR2, ACTR3, AHCTF1, ARPC2, ARPC3, ARPC4, ARPC5, BRK1, BUB1B, BUB3, CALM2, CDC25C, CDC42, CENPA, CENPC, CENPE, CENPF, CENPH, CENPI, CENPK, CENPL, CENPQ, CENPU, CKAP5, CLASP2, CLIP1, CTNNB1, DAAM1, DIAPH2, DIAPH3, DSN1, DYNC1I2, ERCC6L, FMNL2, GOPC, H2AC6, H2AZ1, H2BC9, H3-3A, H3-3B, ITGB1, ITGB3BP, KIF14, KIF18A, KIF2A, KIF5B, KLC3, KNL1, KNTC1, KTN1, MAD2L1, MAPK11, MAPRE1, MYL12A, MYL12B, MYL6, NCK1, NCKAP1, NDC80, NSL1, NUF2, NUP107, NUP43, PFN2, PIK3C3, PKN2, PPP1CB, PPP1CC, PPP1R12A, PPP2CA, PPP2R1B, PPP2R5A, PPP2R5C, PPP2R5E, PRC1, RAC1, RANBP2, RHOQ, ROCK1, ROCK2, RPS27, SCAI, SEH1L, SGO2, SKA2, SPC25, SPDL1, SRF, TAOK1, TUBB2B, XPO1, YWHAQ, YWHAZ, ZW10, ZWILCH"
"RHO GTPases Activate Formins","1.049e-05","128","AHCTF1, BUB1, BUB1B, BUB3, CDC42, CENPA, CENPC, CENPE, CENPF, CENPH, CENPI, CENPK, CENPL, CENPN, CENPQ, CENPU, CKAP5, CLASP2, CLIP1, DAAM1, DIAPH2, DIAPH3, DSN1, DYNC1I2, ERCC6L, FMNL2, ITGB1, ITGB3BP, KIF18A, KIF2A, KNL1, KNTC1, MAD2L1, MAPRE1, NDC80, NSL1, NUF2, NUP107, NUP43, PFN2, PPP1CC, PPP2CA, PPP2CB, PPP2R1B, PPP2R5A, PPP2R5C, PPP2R5E, RAC1, RANBP2, RPS27, SCAI, SEH1L, SGO2, SKA2, SPC25, SPDL1, SRF, TAOK1, TUBB2B, XPO1, ZW10, ZWILCH, ZWINT"
"RHOBTB GTPase Cycle","9.927e-03","35","CCT2, CCT6A, COPS2, COPS4, HNRNPC, HSP90AA1, MYO6, PHIP, RHOBTB1, ROCK1, ROCK2, TRA2B, TWF1"
"RHOBTB1 GTPase cycle","4.684e-02","23","CCT2, CCT7, COPS2, COPS4, HNRNPC, MYO6, PDE5A, RBBP6, RHOBTB1, ROCK1, ROCK2, TRA2B, TXNL1"
"RHOBTB2 GTPase cycle","1.072e-02","23","CCT2, CCT6A, HSP90AA1, PHIP, TRA2B, TWF1"
"RIPK1-mediated regulated necrosis","4.587e-02","28","BIRC2, BIRC3, FLOT1, HSP90AA1, RPS27A, SDCBP, TNFSF10, UBA52, UBC, XIAP"
"RNA Polymerase II Transcription Termination","3.849e-03","63","CDC40, CPSF2, CSTF2, CSTF3, FIP1L1, FYTTD1, LSM11, MAGOHB, NCBP1, NCBP2, NUDT21, PAPOLA, SLBP, SLU7, SNRPD3, SNRPE, SNRPF, SNRPG, SRSF1, SRSF3, SRSF7, THOC1, THOC2, THOC7, UPF3B, WDR33"
"RND1 GTPase cycle","2.832e-03","38","ANKRD26, ARHGAP5, CAV1, CCDC88A, CPD, DEPDC1B, DST, EPSTI1, FRS2, KIF14, LEMD3, TMEM59"
"RND3 GTPase cycle","1.151e-02","38","ANKRD26, ARHGAP5, CAV1, CCDC88A, CPD, DEPDC1B, DST, KTN1, LEMD3, PICALM, RND3, ROCK1"
"RUNX1 regulates transcription of genes involved in differentiation of HSCs","4.317e-02","86","CBFB, CCNH, CDK7, H2AC6, H2AZ1, H3-3A, H3-3B, ITCH, MNAT1, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB7, PSMC2, PSMC6, PSMD1, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, UBA52, UBC"
"Regulated Necrosis","2.266e-02","47","BIRC2, BIRC3, CASP3, CASP4, CYCS, FLOT1, HMGB1, HSP90AA1, IL18, RPS27A, SDCBP, TNFSF10, UBA52, UBC, XIAP"
"Regulation of APC/C activators between G1/S and early anaphase","7.313e-05","78","BUB3, CCNA2, CDC27, CDK1, FBXO5, MAD2L1, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, SKP1, UBA52, UBC, UBE2D1"
"Regulation of Apoptosis","9.258e-05","51","OPA1, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, UBA52, UBC"
"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","7.576e-03","62","ANO8, APLP2, APP, BMP4, CST3, IGFBP2, IGFBP4, KLK1, LAMB2, LAMC1, MELTF, MEN1, MSLN, MXRA8, NOTUM, NUCB1, P4HB, PNPLA2, PRKCSH, QSOX1, SERPINA1, SHISA5, TGOLN2, TIMP1, TMEM132A, TNC, VGF, WFS1"
"Regulation of PLK1 Activity at G2/M Transition","1.088e-04","85","AJUBA, AKAP9, ALMS1, AURKA, BORA, CCNB2, CDK1, CEP152, CEP290, CEP57, CEP70, CEP78, CETN2, CNTRL, DYNC1I2, HAUS1, HAUS3, HAUS6, HSP90AA1, NEDD1, NEK2, PCM1, PLK4, PPP1CB, PPP1R12A, RPS27A, SKP1, UBA52, UBC"
"Regulation of PTEN stability and activity","4.644e-05","66","FRK, NEDD4, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB7, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, PTEN, RPS27A, SEM1, TNKS, TNKS2, TRIM27, UBA52, UBC, USP13, XIAP"
"Regulation of RAS by GAPs","4.339e-04","64","KRAS, NF1, NRAS, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBX1, RPS27A, SEM1, UBA52, UBC"
"Regulation of RUNX2 expression and activity","4.382e-04","68","NR3C1, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBX1, RPS27A, SEM1, SKP1, SKP2, STAT1, UBA52, UBC, WWP1"
"Regulation of RUNX3 expression and activity","5.083e-03","55","PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, RPS27A, SEM1, SMURF2, UBA52, UBC"
"Regulation of TP53 Activity through Phosphorylation","4.236e-02","87","ATM, ATR, AURKA, BLM, BRCA1, CCNA2, CHEK1, DNA2, DYRK2, MAPK11, MRE11, NBN, PRKAA2, RAD1, RBBP8, RFC2, RFC3, RMI1, RPA3, RPS27A, TAF2, TAF4B, TAF7, TAF9, TAF9B, TOPBP1, UBA52, UBC, WRN"
"Regulation of activated PAK-2p34 by proteasome mediated degradation","1.528e-04","48","PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, UBA52, UBC"
"Regulation of beta-cell development","7.539e-03","25","CREBBP, EP300, FOXA2, FOXO1, HES1, HNF1B, KAT2A, MAFA, MAML1, MAML3, NOTCH1, ONECUT3"
"Regulation of expression of SLITs and ROBOs","9.743e-21","158","CUL2, ELOC, MAGOHB, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBX1, RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA, SEM1, UBA52, UBC, UPF3B, USP33"
"Regulation of mRNA stability by proteins that bind AU-rich elements","3.693e-04","86","DCP2, DIS3, EXOSC3, EXOSC9, HSPA8, PARN, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, SET, TNPO1, UBA52, UBC, XPO1, XRN1"
"Regulation of mitotic cell cycle","3.735e-06","85","AURKA, BUB3, CCNA2, CDC27, CDK1, FBXO5, MAD2L1, NEK2, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, PTTG1, RB1, RPS27A, SEM1, SKP1, SKP2, UBA52, UBC, UBE2D1"
"Regulation of necroptotic cell death","4.587e-02","28","BIRC2, BIRC3, FLOT1, HSP90AA1, RPS27A, SDCBP, TNFSF10, UBA52, UBC, XIAP"
"Regulation of ornithine decarboxylase (ODC)","1.424e-03","49","AZIN1, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB7, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, SEM1"
"Resolution of D-Loop Structures","1.437e-03","33","ATM, BLM, BRCA1, BRCA2, DNA2, GEN1, MRE11, NBN, RAD51AP1, RAD51B, RAD51C, RBBP8, RMI1, SEM1"
"Resolution of D-loop Structures through Holliday Junction Intermediates","1.912e-03","32","ATM, BLM, BRCA1, BRCA2, DNA2, GEN1, MRE11, NBN, RAD51AP1, RAD51B, RAD51C, RBBP8, RMI1, SEM1"
"Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)","9.877e-05","27","ATM, BLM, BRCA1, BRCA2, DNA2, MRE11, NBN, RAD51AP1, RAD51B, RAD51C, RBBP8, RMI1, SEM1"
"Resolution of Sister Chromatid Cohesion","1.507e-07","115","AHCTF1, BUB3, CCNB2, CDK1, CENPC, CENPE, CENPF, CENPH, CENPI, CENPK, CENPL, CENPQ, CENPU, CLASP2, DSN1, DYNC1I2, ERCC6L, HDAC8, ITGB3BP, KIF18A, KIF2A, KNL1, MAD2L1, NDC80, NSL1, NUF2, NUP107, PDS5A, PPP1CC, PPP2CA, PPP2R1B, PPP2R5A, PPP2R5C, PPP2R5E, RANBP2, RPS27, SEH1L, SGO2, SKA2, SMC3, SPC25, SPDL1, STAG1, STAG2, TAOK1, XPO1, ZWILCH"
"Respiratory electron transport","1.924e-07","101","COA1, COX1, COX11, COX14, COX16, COX2, COX20, COX3, COX5B, COX6B1, COX6C, COX7A2L, COX7B, COX7C, CYCS, ETFA, LRPPRC, ND4, NDUFA1, NDUFA13, NDUFA4, NDUFA5, NDUFA8, NDUFA9, NDUFAF1, NDUFAF2, NDUFAF4, NDUFAF5, NDUFAF6, NDUFAF7, NDUFB1, NDUFB2, NDUFB3, NDUFB5, NDUFB6, NDUFC1, NDUFC2, NDUFS3, NDUFS4, NDUFS5, NDUFS6, NUBPL, SCO1, SDHB, SDHD, TACO1, TMEM126B, UQCR10, UQCR11, UQCRB, UQCRC2, UQCRFS1, UQCRH, UQCRQ"
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","8.808e-09","123","ATP5F1B, ATP5F1C, ATP5F1E, ATP5MC1, ATP5MC2, ATP5MC3, ATP5ME, ATP5MG, ATP5PB, ATP5PD, ATP5PF, ATP5PO, COA1, COX1, COX11, COX14, COX16, COX2, COX20, COX3, COX5B, COX6B1, COX6C, COX7A2L, COX7B, COX7C, CYCS, ETFA, LRPPRC, ND4, NDUFA1, NDUFA13, NDUFA4, NDUFA5, NDUFA8, NDUFA9, NDUFAF1, NDUFAF2, NDUFAF4, NDUFAF5, NDUFAF6, NDUFAF7, NDUFB1, NDUFB2, NDUFB3, NDUFB5, NDUFB6, NDUFC1, NDUFC2, NDUFS3, NDUFS4, NDUFS5, NDUFS6, NUBPL, SCO1, SDHB, SDHD, SLC25A27, TACO1, TMEM126B, UCP3, UQCR10, UQCR11, UQCRB, UQCRC2, UQCRFS1, UQCRH, UQCRQ"
"Response of EIF2AK4 (GCN2) to amino acid deficiency","3.567e-19","98","ATF2, EIF2S2, RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA, UBA52"
"Retinoid metabolism and transport","3.984e-02","24","AGRN, AKR1C1, AKR1C3, APOM, BCO1, HSPG2, LDLR, LRAT, LRP1, LRP10, LRP8, RETSAT"
"Ribosomal scanning and start codon recognition","1.161e-08","57","EIF1AX, EIF2S2, EIF3E, EIF3H, EIF3J, EIF3M, EIF4A2, EIF4E, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA"
"S Phase","5.897e-06","160","CCNA2, CCNE2, CDC27, CDK7, CKS1B, DNA2, ESCO1, ESCO2, GMNN, LIN9, MCM6, MNAT1, ORC3, ORC4, ORC5, PDS5A, PRIM1, PRIM2, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RB1, RBX1, RFC3, RPA3, RPS27A, SEM1, SKP1, SKP2, SMC3, STAG1, STAG2, TFDP2, UBA52, UBC, UBE2D1"
"SARS-CoV Infections","3.928e-05","318","ARID4A, ARID4B, ATG14, B2M, CANX, CAV1, CHMP2B, CNBP, CRBN, CTSL, DAD1, DDX20, FNTA, G3BP1, G3BP2, GALNT1, GEMIN2, GPC4, HDAC2, HLA-B, HSP90AA1, IFIH1, IFNAR1, IFNGR1, ISCU, JAK2, JAK3, MAGT1, MAN2A1, MAP3K7, NCK1, NDC1, NR3C1, NUP107, NUP155, NUP35, NUP54, NUP58, NUP88, PALS1, PARP14, PIK3C3, PTGES3, PTPN11, RANBP2, RB1, RBX1, REST, RIPK2, ROCK1, ROCK2, RPN1, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPS8, RPSA, SAP30, SAR1B, SEC24A, SEH1L, SNRPD1, SNRPD2, SNRPD3, SNRPE, SNRPF, SNRPG, SOS1, STAT1, SUMO1, TBK1, TLR1, TLR2, TOMM70, TPR, UBA52, UBC, UBE2N, YWHAQ, ZDHHC2, ZDHHC20"
"SARS-CoV-2 Infection","1.403e-05","249","ATG14, B2M, CANX, CAV1, CHMP2B, CNBP, CTSL, DAD1, DDX20, G3BP1, G3BP2, GALNT1, GEMIN2, GPC4, HLA-B, HSP90AA1, IFIH1, IFNAR1, ISCU, MAGT1, MAN2A1, MAP3K7, NDC1, NUP107, NUP155, NUP35, NUP54, NUP58, NUP88, PALS1, PARP14, PIK3C3, PTPN11, RANBP2, RB1, RIPK2, RPN1, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPS8, RPSA, SAR1B, SEC24A, SEH1L, SNRPD1, SNRPD2, SNRPD3, SNRPE, SNRPF, SNRPG, STAT1, SUMO1, TBK1, TLR1, TLR2, TOMM70, TPR, UBA52, UBC, UBE2N, YWHAQ, ZDHHC2, ZDHHC20"
"SARS-CoV-2 activates/modulates innate and adaptive immune responses","3.876e-02","100","ATG14, B2M, CNBP, G3BP1, G3BP2, HLA-B, HSP90AA1, IFIH1, IFNAR1, MAP3K7, NDC1, NUP107, NUP155, NUP35, NUP54, NUP58, NUP88, PIK3C3, PTPN11, RANBP2, RIPK2, RPS27A, SAR1B, SEC24A, SEH1L, STAT1, STING1, TBK1, TLR1, TLR2, TOMM70, TPR, UBA52, UBC, UBE2N"
"SARS-CoV-2 modulates host translation machinery","6.358e-10","48","GEMIN2, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA, SNRPD1, SNRPD2, SNRPD3, SNRPE, SNRPF, SNRPG"
"SARS-CoV-2-host interactions","5.578e-07","174","ATG14, B2M, CAV1, CNBP, G3BP1, G3BP2, GEMIN2, HSP90AA1, IFIH1, IFNAR1, MAP3K7, NDC1, NUP107, NUP155, NUP35, NUP54, NUP58, PALS1, PIK3C3, PTPN11, RANBP2, RIPK2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA, SAR1B, SEH1L, SNRPD1, SNRPD2, SNRPD3, SNRPE, SNRPF, SNRPG, STAT1, TBK1, TLR1, TLR2, TOMM70, TPR, UBA52, UBC, UBE2N, YWHAQ"
"SCF(Skp2)-mediated degradation of p27/p21","1.938e-04","59","CCNA2, CCNE2, CKS1B, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, RPS27A, SEM1, SKP1, SKP2, UBA52, UBC"
"SCF-beta-TrCP mediated degradation of Emi1","8.555e-05","53","FBXO5, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, SKP1, UBA52, UBC"
"SRP-dependent cotranslational protein targeting to membrane","7.691e-23","109","RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP2, RPN1, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA, SEC11A, SEC11C, SEC61G, SPCS3, SRP14, SRP72, SRP9, SSR1, SSR3, TRAM1, UBA52"
"SUMOylation of DNA damage response and repair proteins","3.020e-02","75","BLM, BMI1, BRCA1, CETN2, NDC1, NSMCE1, NSMCE2, NUP107, NUP155, NUP35, NUP54, NUP58, PIAS2, RANBP2, RNF2, SEH1L, SMC3, SMC6, STAG1, STAG2, SUMO1, SUMO2, TDG, TPR, XRCC4"
"Selective autophagy","4.027e-03","68","ATG12, ATG5, ATM, DYNC1I2, HSP90AA1, HSPA8, IFT88, MFN1, MTERF3, PARK7, PLIN2, PRKAA2, RPS27A, TOMM20, TOMM5, TOMM7, TOMM70, UBA52, UBC, UBE2N"
